ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Date_c,Year,Month,Day,Duration,month,year
AL041951,CHARLIE,1951-08-20,600,,HU,20.6,-87.9,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-20,1951,8,20,9,8,1951
AL041951,CHARLIE,1951-08-20,1200,,HU,21.0,-89.2,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-20,1951,8,20,9,8,1951
AL041951,CHARLIE,1951-08-20,1800,,HU,21.4,-90.4,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-20,1951,8,20,9,8,1951
AL041951,CHARLIE,1951-08-21,0,,HU,21.6,-91.6,65,989,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-21,1951,8,21,9,8,1951
AL041951,CHARLIE,1951-08-21,600,,HU,21.6,-92.7,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-21,1951,8,21,9,8,1951
AL041951,CHARLIE,1951-08-21,1200,,HU,21.6,-93.7,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-21,1951,8,21,9,8,1951
AL041951,CHARLIE,1951-08-21,1800,,HU,21.6,-94.3,65,988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-21,1951,8,21,9,8,1951
AL041951,CHARLIE,1951-08-22,0,,HU,21.7,-94.9,70,982,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-22,1951,8,22,9,8,1951
AL041951,CHARLIE,1951-08-22,600,,HU,21.9,-95.7,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-22,1951,8,22,9,8,1951
AL041951,CHARLIE,1951-08-22,1200,,HU,22.1,-96.6,85,972,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-22,1951,8,22,9,8,1951
